year,region_id,policy_id,policy_label,1,2,3,4,5,6,7,8,9,total
2006,10,41,"Agricultura, Pesca y Alimentación",43924480.00,19125000.00,"",147261120.00,"",58710580.00,157784260.00,600000.00,"",427405440.00
2006,10,42,Industria y Energía,10291730.00,3904070.00,"",44812300.00,"",2071330.00,66915060.00,"","",127994490.00
2006,10,43,"Comercio, Turismo y Pymes",7746990.00,1818000.00,"",90679930.00,"",312900.00,34575810.00,"","",135133630.00
2006,10,45,Infraestructuras,45396980.00,26848780.00,6786950.00,49502630.00,"",418956050.00,99202520.00,"","",646693910.00
2006,10,46,"Investigación, Desarrollo e Innovación",20869860.00,15639820.00,3000.00,24712860.00,"",14110600.00,15781570.00,"","",91117710.00
2006,10,49,Otras Actuaciones de Carácter Económico,18072550.00,8325940.00,"",32054110.00,"",14823720.00,7892620.00,1250700.00,"",82419640.00
2006,10,91,Alta Dirección,41519180.00,15253880.00,"",5227250.00,"",3553110.00,48030.00,45960.00,"",65647410.00
2006,10,92,Servicios de Carácter General,30871970.00,57479500.00,"",39092190.00,"",22365280.00,33374840.00,9093530.00,"",192277310.00
2006,10,93,Administración Financiera y Tributaria,29575180.00,44858870.00,"",3306170.00,"",71000.00,"","","",77811220.00
2006,10,95,Deuda Pública,"","",332939820.00,"","","","","",123581630.00,456521450.00
2012,17,11,Justicia,10216764.00,1993057.00,"",1050930.00,"",7600338.00,"","","",20861089.00
2012,17,13,Seguridad Ciudadana e Instituciones Penitenciarias,5323388.00,4767368.00,"",704558.00,"",529000.00,"",41802.00,"",11366116.00
2012,17,14,Política Exterior,"",608178.00,"",848770.00,"",65493.00,2218040.00,800.00,"",3741281.00
2012,17,23,Servicios Sociales y Promoción Social,20532564.00,55169616.00,800.00,45714232.00,"",3014444.00,2062000.00,"","",126493656.00
2012,17,24,Fomento del Empleo,6499384.00,2610091.00,"",26767306.00,"",188400.00,14436819.00,500000.00,79504.00,51081504.00
2012,17,26,Acceso a la Vivienda y Fomento de la Edificación,1808618.00,"",1000.00,2298000.00,"",190000.00,4691000.00,"","",8988618.00
2012,17,31,Sanidad,182964184.00,105599893.00,"",126202963.00,"",2335508.00,506213.00,"","",417608761.00
2012,17,32,Educación,137646631.00,17449343.00,3000.00,69265647.00,"",7146064.00,2013707.00,"","",233524392.00
2012,17,33,Cultura,5015441.00,6730004.00,"",3759192.00,"",3099632.00,2479750.00,"","",21084019.00
2012,17,41,"Agricultura, Pesca y Alimentación",6817543.00,3011279.00,10500.00,7736613.00,"",1774065.00,22449370.00,"","",41799370.00
2012,17,42,Industria y Energía,1310137.00,607034.00,"",40000.00,"",49380.00,638376.00,"","",2644927.00
2012,17,43,"Comercio, Turismo y Pymes",794238.00,404481.00,900.00,1383725.00,"",29620.00,5058000.00,4350000.00,"",12020964.00
2012,17,45,Infraestructuras,14175694.00,11834093.00,96000.00,13600335.00,"",34744411.00,22254800.00,"","",96705333.00
2012,17,46,"Investigación, Desarrollo e Innovación",10167397.00,14076738.00,1405.00,8205285.00,"",3990240.00,29792167.00,"",636774.00,66870006.00
2012,17,49,Otras Actuaciones de Carácter Económico,4079403.00,324796.00,"",998319.00,"",41440.00,41130.00,"","",5485088.00
2012,17,91,Alta Dirección,6270179.00,3414288.00,50.00,1960953.00,"",437641.00,"",47933.00,"",12131044.00
2012,17,92,Servicios de Carácter General,12596698.00,5167432.00,3200.00,1619120.00,"",2637688.00,"",180304.00,"",22204442.00
2012,17,93,Administración Financiera y Tributaria,5115268.00,4723662.00,115000.00,25107.00,"",809200.00,"","","",10788237.00
2012,17,95,Deuda Pública,"","",41815245.00,"","","","","",53600451.00,95415696.00
2014,1,11,Justicia,278019452.00,148940724.00,"",38450000.00,"",13053734.00,187584.00,"","",478651494.00
2014,1,13,Seguridad Ciudadana e Instituciones Penitenciarias,22044535.00,7039000.00,"",120000.00,"",17699092.00,"","","",46902627.00
2014,1,14,Política Exterior,1922367.00,377605.00,"",46185118.00,"",604296.00,111908.00,"","",49201294.00
2014,1,21,Pensiones,"","","",27237360.00,"","","","","",27237360.00
2014,1,23,Servicios Sociales y Promoción Social,268871682.00,1263103846.00,"",404896358.00,"",19546844.00,11655348.00,"","",1968074078.00
2014,1,24,Fomento del Empleo,88741962.00,30759665.00,200000.00,1350000.00,"",57353870.00,452220418.00,"",140000.00,630765915.00
2014,1,26,Acceso a la Vivienda y Fomento de la Edificación,11498807.00,"",556132.00,41129826.00,"",7747620.00,78813060.00,"","",139745445.00
2014,1,31,Sanidad,3982084722.00,1929068678.00,41578166.00,2203189454.00,"",50737705.00,3964837.00,"","",8210623562.00
2014,1,32,Educación,3830334424.00,180669543.00,202718.00,1867335713.00,"",3442356.00,552956958.00,"",3832951.00,6438774663.00
2014,1,33,Cultura,60365863.00,16684081.00,5354.00,54047480.00,"",28839357.00,10296666.00,"","",170238801.00
2014,1,41,"Agricultura, Pesca y Alimentación",100342173.00,27278467.00,365000.00,124047575.00,"",306136835.00,431486770.00,"","",989656820.00
2014,1,42,Industria y Energía,5958767.00,1721230.00,"",25868586.00,"",39797833.00,94444676.00,108000000.00,"",275791092.00
2014,1,43,"Comercio, Turismo y Pymes",43101479.00,1339834.00,"",91614060.00,"",14668901.00,137143931.00,"","",287868205.00
2014,1,45,Infraestructuras,169478613.00,26295298.00,3047115.00,207950183.00,"",282134656.00,171258699.00,"","",860164564.00
2014,1,46,"Investigación, Desarrollo e Innovación",80361767.00,45051747.00,"",15008461.00,"",30956777.00,319204102.00,15000.00,18630432.00,509228286.00
2014,1,49,Otras Actuaciones de Carácter Económico,39288448.00,15759162.00,"",102223515.00,"",45978193.00,5237887.00,25000000.00,"",233487205.00
2014,1,91,Alta Dirección,80125322.00,25178931.00,"",13388684.00,"",3712945.00,235000.00,177064.00,"",122817946.00
2014,1,92,Servicios de Carácter General,77013181.00,48182656.00,130000.00,117381109.00,20000000.00,12073157.00,83604562.00,"",30000000.00,388384665.00
2014,1,93,Administración Financiera y Tributaria,21906526.00,2244297.00,"",65634385.00,"",10410502.00,"","","",100195710.00
2014,1,94,Transferencias a otras Administraciones Públicas,"","","",480000000.00,"","",3994206.00,"","",483994206.00
2014,1,95,Deuda Pública,"","",1093806644.00,"","","","","",2110989366.00,3204796010.00
2015,1,11,Justicia,288992545.00,132067591.00,"",37450000.00,"",12626607.00,"","","",471136743.00
2015,1,13,Seguridad Ciudadana e Instituciones Penitenciarias,22341156.00,11760000.00,"",120000.00,"",13511383.00,"","","",47732539.00
2015,1,14,Política Exterior,2251492.00,377605.00,"",46134576.00,"",507052.00,111908.00,"","",49382633.00
2015,1,21,Pensiones,"","","",24702410.00,"","","","","",24702410.00
2015,1,23,Servicios Sociales y Promoción Social,275373229.00,553299183.00,"",1121504047.00,"",10503181.00,6998829.00,"","",1967678469.00
2015,1,24,Fomento del Empleo,99539971.00,54411687.00,200000.00,54245443.00,"",140403358.00,327314660.00,"",140000.00,676255119.00
2015,1,26,Acceso a la Vivienda y Fomento de la Edificación,12472629.00,3200000.00,372608.00,61669150.00,"",13911000.00,68459700.00,2091292.00,30000000.00,192176379.00
2015,1,31,Sanidad,4128101972.00,1974777492.00,40660355.00,2179496374.00,"",88772095.00,2100000.00,"","",8413908288.00
2015,1,32,Educación,4002292956.00,156399756.00,183867.00,1850554920.00,"",4640892.00,569325796.00,"",5043889.00,6588442076.00
2015,1,33,Cultura,61159287.00,19793347.00,351423.00,54820764.00,"",32687588.00,7913767.00,"","",176726176.00
2015,1,41,"Agricultura, Pesca y Alimentación",97015051.00,32112637.00,645412.00,122487711.00,"",302674680.00,429097323.00,"","",984032814.00
2015,1,42,Industria y Energía,5961930.00,1560647.00,"",24014300.00,"",24510118.00,60612431.00,50000000.00,"",166659426.00
2015,1,43,"Comercio, Turismo y Pymes",47104605.00,1121672.00,"",102712695.00,"",6481746.00,142172560.00,"","",299593278.00
2015,1,44,Subvenciones al Transporte,"","","",19029353.00,"","",58989499.00,"","",78018852.00
2015,1,45,Infraestructuras,178495834.00,21987538.00,2501646.00,239451673.00,"",326607515.00,60854208.00,"","",829898414.00
2015,1,46,"Investigación, Desarrollo e Innovación",79789228.00,24104415.00,4334.00,52487429.00,"",34596009.00,292484504.00,"",17830433.00,501296352.00
2015,1,49,Otras Actuaciones de Carácter Económico,42791530.00,10830474.00,"",104825947.00,"",41161784.00,3921679.00,25000000.00,"",228531414.00
2015,1,91,Alta Dirección,82553915.00,24436088.00,"",13654134.00,"",4017159.00,189408.00,177064.00,"",125027768.00
2015,1,92,Servicios de Carácter General,75375966.00,72369230.00,115102.00,118043920.00,16000000.00,22394661.00,81311657.00,"","",385610536.00
2015,1,93,Administración Financiera y Tributaria,23588103.00,1988122.00,"",65441234.00,"",20436876.00,"",18000000.00,"",129454335.00
2015,1,94,Transferencias a otras Administraciones Públicas,"","","",480000000.00,"","",4070096.00,"","",484070096.00
2015,1,95,Deuda Pública,"","",820673518.00,"","","","","",1821803896.00,2642477414.00
2007,10,11,Justicia,144788930.00,18805380.00,2921690.00,23051420.00,"",21541240.00,20860.00,"","",211129520.00
2007,10,13,Seguridad Ciudadana e Instituciones Penitenciarias,5025220.00,39396640.00,"",19539930.00,"",5267610.00,350000.00,"","",69579400.00
2007,10,14,Política Exterior,2398530.00,1865890.00,"",30053870.00,"","",34391020.00,96380.00,"",68805690.00
2007,10,21,Pensiones,"","","",2583010.00,"","","","","",2583010.00
2007,10,23,Servicios Sociales y Promoción Social,87649640.00,142079270.00,"",255160510.00,"",22957840.00,19524550.00,"","",527371810.00
2007,10,24,Fomento del Empleo,51204500.00,13808020.00,"",356917500.00,"",17511700.00,3662000.00,"","",443103720.00
2007,10,26,Acceso a la Vivienda y Fomento de la Edificación,9377980.00,5485470.00,"",4140370.00,"",69721100.00,131361340.00,4000000.00,"",224086260.00
2007,10,31,Sanidad,2082019180.00,1552543150.00,"",1893884220.00,"",207392560.00,73294880.00,27050.00,"",5809161040.00
2007,10,32,Educación,1956774160.00,206366800.00,"",732205220.00,"",41271180.00,39187120.00,25290000.00,"",3001094480.00
2007,10,33,Cultura,16272020.00,17007920.00,"",147766830.00,"",17152950.00,46085080.00,211672500.00,"",455957300.00
2007,10,41,"Agricultura, Pesca y Alimentación",46360090.00,29541150.00,"",185509500.00,"",61488500.00,136048540.00,600000.00,"",459547780.00
2007,10,42,Industria y Energía,10978940.00,4559870.00,"",66803320.00,"",2138140.00,57467720.00,"","",141947990.00
2007,10,43,"Comercio, Turismo y Pymes",8072130.00,1709000.00,"",99592400.00,"",201000.00,29031520.00,"","",138606050.00
2007,10,45,Infraestructuras,50630210.00,33959630.00,6909540.00,55645900.00,"",436432110.00,107495550.00,"","",691072940.00
2007,10,46,"Investigación, Desarrollo e Innovación",21888090.00,14748200.00,3000.00,27587850.00,"",12900000.00,17126570.00,120000.00,"",94373710.00
2007,10,49,Otras Actuaciones de Carácter Económico,23005560.00,9122320.00,"",29462140.00,"",16565350.00,7059700.00,1250700.00,"",86465770.00
2007,10,91,Alta Dirección,45720670.00,16070920.00,"",6303210.00,"",10172170.00,138630.00,46870.00,"",78452470.00
2007,10,92,Servicios de Carácter General,29096830.00,50499750.00,"",55452690.00,"",16038710.00,39108240.00,47095870.00,"",237292090.00
2007,10,93,Administración Financiera y Tributaria,30365670.00,54696340.00,"",3330990.00,"",43750.00,180000.00,"","",88616750.00
2007,10,95,Deuda Pública,"","",329997940.00,"","","","","",126415360.00,456413300.00
2013,17,11,Justicia,10371278.00,1474325.00,"",928212.00,"",10555233.00,"","","",23329048.00
2013,17,13,Seguridad Ciudadana e Instituciones Penitenciarias,5258573.00,4186699.00,"",617392.00,"",102800.00,"",20279.00,"",10185743.00
2013,17,14,Política Exterior,"",496900.00,"",419935.00,"",62215.00,796400.00,760.00,"",1776210.00
2013,17,23,Servicios Sociales y Promoción Social,16813606.00,51084119.00,1100.00,36030358.00,"",661549.00,329190.00,"","",104919922.00
2013,17,24,Fomento del Empleo,3755452.00,929014.00,"",17011743.00,"",10900.00,"","","",21707109.00
2013,17,26,Acceso a la Vivienda y Fomento de la Edificación,1821435.00,"","",1672800.00,"",150000.00,4127200.00,"","",7771435.00
2013,17,31,Sanidad,175982119.00,108980145.00,"",106725908.00,"",938312.00,411742.00,"","",393038226.00
2013,17,32,Educación,139185654.00,16586052.00,"",69011587.00,"",3653535.00,1398800.00,"","",229835628.00
2013,17,33,Cultura,5371544.00,5749651.00,"",4122448.00,"",1464773.00,2340023.00,"","",19048439.00
2013,17,41,"Agricultura, Pesca y Alimentación",6484968.00,2803892.00,76000.00,10566000.00,"",1712090.00,17453835.00,"","",39096785.00
2013,17,42,Industria y Energía,1248550.00,484375.00,"",40000.00,"",34480.00,"","","",1807405.00
2013,17,43,"Comercio, Turismo y Pymes",3372560.00,2096625.00,900.00,3878812.00,"",112070.00,14089283.00,6445000.00,79504.00,30074754.00
2013,17,45,Infraestructuras,14098902.00,12043985.00,244525.00,13475406.00,"",28057428.00,19459300.00,"","",87379546.00
2013,17,46,"Investigación, Desarrollo e Innovación",9651054.00,20403431.00,1385.00,7301295.00,"",4139603.00,29125807.00,"",386774.00,71009349.00
2013,17,49,Otras Actuaciones de Carácter Económico,3874331.00,282363.00,"",954639.00,"",33545.00,39075.00,"","",5183953.00
2013,17,91,Alta Dirección,5782618.00,3006375.00,50.00,1506555.00,"",343105.00,"",48318.00,"",10687021.00
2013,17,92,Servicios de Carácter General,12088676.00,4929036.00,7200.00,1216313.00,"",1294250.00,"",180304.00,"",19715779.00
2013,17,93,Administración Financiera y Tributaria,5141327.00,5032729.00,115000.00,14907.00,5000000.00,18700.00,"","","",15322663.00
2013,17,95,Deuda Pública,"","",46588993.00,"","","","","",81207189.00,127796182.00
2007,17,13,Seguridad Ciudadana e Instituciones Penitenciarias,937000.00,3176000.00,"",4373000.00,"",504000.00,5000.00,"","",8995000.00
2007,17,14,Política Exterior,570000.00,624000.00,"",2211000.00,"",858000.00,2386000.00,"","",6649000.00
2007,17,21,Pensiones,"","","",50000.00,"","","","","",50000.00
2007,17,23,Servicios Sociales y Promoción Social,20213000.00,31346000.00,16000.00,17061000.00,"",11357000.00,12565000.00,"","",92558000.00
2007,17,24,Fomento del Empleo,3707000.00,1567000.00,"",28629000.00,"",692000.00,34751744.00,"","",69346744.00
2007,17,26,Acceso a la Vivienda y Fomento de la Edificación,1117000.00,296000.00,"",1826000.00,"",1709000.00,10800000.00,"","",15748000.00
2007,17,31,Sanidad,157592000.00,77933856.00,"",124261742.00,"",95190734.00,11003000.00,"","",465981332.00
2007,17,32,Educación,127135275.00,19422000.00,1000.00,63257000.00,"",14845000.00,8024000.00,"","",232684275.00
2007,17,33,Cultura,4340000.00,6603000.00,"",4448000.00,"",4698000.00,7098000.00,"","",27187000.00
2007,17,41,"Agricultura, Pesca y Alimentación",11370000.00,7000000.00,"",9997000.00,"",5851000.00,13940000.00,"","",48158000.00
2007,17,42,Industria y Energía,859000.00,207000.00,"",25000.00,"",225000.00,2440000.00,"","",3756000.00
2007,17,43,"Comercio, Turismo y Pymes",969000.00,576000.00,"",2036000.00,"",1161000.00,7902000.00,2699994.00,"",15343994.00
2007,17,45,Infraestructuras,15877000.00,10201000.00,250373.00,18513000.00,"",59511000.00,26130000.00,"","",130482373.00
2007,17,46,"Investigación, Desarrollo e Innovación",297000.00,1132000.00,"",1569000.00,"",2761000.00,1057000.00,"","",6816000.00
2007,17,49,Otras Actuaciones de Carácter Económico,3443000.00,416000.00,"",2072000.00,"",71000.00,67000.00,"","",6069000.00
2007,17,91,Alta Dirección,5308000.00,5444000.00,"",2202000.00,"",1269000.00,"",41000.00,"",14264000.00
2007,17,92,Servicios de Carácter General,17649000.00,7088000.00,3000.00,6915000.00,"",16391000.00,"",180000.00,"",48226000.00
2007,17,93,Administración Financiera y Tributaria,4902000.00,5150000.00,128000.00,41000.00,"",2274000.00,"","","",12495000.00
2007,17,95,Deuda Pública,"","",16307000.00,"","","","","",11030639.00,27337639.00
2013,10,11,Justicia,164753570.00,33823030.00,6658730.00,23937510.00,"",19987040.00,"","","",249159880.00
2013,10,13,Seguridad Ciudadana e Instituciones Penitenciarias,6688290.00,58454290.00,"",723740.00,"",4749280.00,151280.00,"","",70766880.00
2013,10,14,Política Exterior,1349640.00,825260.00,"",1822910.00,"",13600.00,1000000.00,"","",5011410.00
2013,10,21,Pensiones,"","","",500000.00,"","","","","",500000.00
2013,10,23,Servicios Sociales y Promoción Social,94223620.00,278973460.00,"",333915590.00,"",3887270.00,2462290.00,"","",713462230.00
2013,10,24,Fomento del Empleo,64755530.00,18011150.00,160000.00,151531730.00,"",5493070.00,430000.00,"","",240381480.00
2013,10,26,Acceso a la Vivienda y Fomento de la Edificación,7260150.00,3158950.00,"","","",7850190.00,22446200.00,"","",40715490.00
2013,10,31,Sanidad,2267510160.00,1812411440.00,"",837561390.00,"",32359800.00,2500000.00,"","",4952342790.00
2013,10,32,Educación,2055453090.00,248717310.00,"",1023522590.00,"",29952860.00,496829050.00,17536000.00,"",3872010900.00
2013,10,33,Cultura,24623970.00,14902980.00,"",53258610.00,"",4065470.00,11994250.00,125857000.00,"",234702280.00
2013,10,41,"Agricultura, Pesca y Alimentación",38900090.00,15772120.00,"",79525560.00,"",8624740.00,93813110.00,"","",236635620.00
2013,10,42,Industria y Energía,10760320.00,3125280.00,"",9013650.00,"",72000.00,66842870.00,"","",89814120.00
2013,10,43,"Comercio, Turismo y Pymes",4659210.00,452050.00,"",45275520.00,"",110000.00,10115000.00,"","",60611780.00
2013,10,45,Infraestructuras,52384540.00,42704990.00,9048180.00,36506930.00,"",154943360.00,42813650.00,"","",338401650.00
2013,10,46,"Investigación, Desarrollo e Innovación",28055400.00,28102190.00,5000.00,1569760.00,"",30737710.00,23883100.00,"","",112353160.00
2013,10,49,Otras Actuaciones de Carácter Económico,4075390.00,916290.00,"",2999080.00,"",175000.00,600000.00,3000000.00,"",11765760.00
2013,10,91,Alta Dirección,46377360.00,12059860.00,2000.00,4738770.00,"",733900.00,6570.00,24060.00,"",63942520.00
2013,10,92,Servicios de Carácter General,31214160.00,19491080.00,51280.00,118435070.00,"",29008960.00,31669510.00,37517960.00,"",267388020.00
2013,10,93,Administración Financiera y Tributaria,29562480.00,26525400.00,70000.00,2277310.00,"",152240.00,121500.00,"","",58708930.00
2013,10,95,Deuda Pública,"","",1144141990.00,"","","","","",147158290.00,1291300280.00
2011,17,13,Seguridad Ciudadana e Instituciones Penitenciarias,1220457.00,4304926.00,"",717085.00,"",1160000.00,"","","",7402468.00
2011,17,14,Política Exterior,503961.00,661612.00,"",1428566.00,"",77118.00,3397628.00,500.00,"",6069385.00
2011,17,23,Servicios Sociales y Promoción Social,22648616.00,56103283.00,81200.00,47271295.00,"",5235941.00,5221495.00,"","",136561830.00
2011,17,24,Fomento del Empleo,3988568.00,1112962.00,"",24314660.00,"",55400.00,153000.00,"","",29624590.00
2011,17,26,Acceso a la Vivienda y Fomento de la Edificación,1159174.00,165500.00,300.00,2548000.00,"",66000.00,4484000.00,"","",8422974.00
2011,17,31,Sanidad,183547504.00,104777992.00,"",130792644.00,"",6796609.00,3148448.00,"","",429063197.00
2011,17,32,Educación,136778250.00,16948483.00,3000.00,69304317.00,"",7220416.00,3852061.00,"","",234106527.00
2011,17,33,Cultura,5292285.00,6100399.00,"",4640667.00,"",4870903.00,3453750.00,"","",24358004.00
2011,17,41,"Agricultura, Pesca y Alimentación",6918648.00,5289110.00,"",8144989.00,"",4658170.00,16875020.00,"","",41885937.00
2011,17,42,Industria y Energía,1425526.00,713080.00,"",17875.00,"",138855.00,1524626.00,"","",3819962.00
2011,17,43,"Comercio, Turismo y Pymes",3681045.00,2337035.00,1000.00,4458088.00,"",177510.00,24171484.00,5400000.00,79504.00,40305666.00
2011,17,45,Infraestructuras,16257485.00,13407365.00,110500.00,13151235.00,"",46495500.00,26884741.00,"","",116306826.00
2011,17,46,"Investigación, Desarrollo e Innovación",9843761.00,10118956.00,1450.00,9792363.00,"",6500389.00,30762412.00,"","",67019331.00
2011,17,49,Otras Actuaciones de Carácter Económico,4119467.00,368840.00,"",1517154.00,"",96250.00,45700.00,"","",6147411.00
2011,17,91,Alta Dirección,6490420.00,3899981.00,90.00,1836650.00,"",577385.00,"",59424.00,"",12863950.00
2011,17,92,Servicios de Carácter General,13274504.00,6550660.00,3000.00,1937079.00,"",3541350.00,"",180304.00,"",25486897.00
2011,17,93,Administración Financiera y Tributaria,5560275.00,5267161.00,128000.00,41538.00,"",2708010.00,"","","",13704984.00
2011,17,95,Deuda Pública,"","",28065904.00,"","","","","",27539700.00,55605604.00
2011,10,11,Justicia,177249270.00,55569010.00,8697140.00,24430240.00,"",17745970.00,"","","",283691630.00
2011,10,13,Seguridad Ciudadana e Instituciones Penitenciarias,6160280.00,38186270.00,"",22454460.00,"",5634930.00,266000.00,"","",72701940.00
2011,10,14,Política Exterior,2114730.00,1650310.00,"",13891340.00,"",27600.00,14528130.00,"","",32212110.00
2011,10,21,Pensiones,"","","",500000.00,"","","","","",500000.00
2011,10,23,Servicios Sociales y Promoción Social,98729830.00,224096420.00,"",385071910.00,"",12454400.00,9954890.00,"","",730307450.00
2011,10,24,Fomento del Empleo,59211000.00,14981800.00,90000.00,394759730.00,"",23393580.00,1792320.00,"","",494228430.00
2011,10,26,Acceso a la Vivienda y Fomento de la Edificación,7594080.00,3908970.00,58600.00,1600000.00,"",18765060.00,58453590.00,"","",90380300.00
2011,10,31,Sanidad,2456177700.00,1562075880.00,"",1242061060.00,"",234099290.00,6195140.00,"","",5500609070.00
2011,10,32,Educación,2264506410.00,197485310.00,"",1044423140.00,"",40928130.00,631399350.00,57317050.00,"",4236059390.00
